Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BRCA	TCGA.A1.A0SF.01A.11D.A141.01	0.42	3.55821237165957
BRCA	TCGA.A1.A0SG.01A.11D.A141.01	0.6	2.0280306778685
BRCA	TCGA.A1.A0SH.01A.11D.A087.01	0.45	2.05049820160964
BRCA	TCGA.A1.A0SI.01A.11D.A141.01	0.49	1.96806434111498
BRCA	TCGA.A1.A0SJ.01A.11D.A087.01	0.6	3.59125310907458
BRCA	TCGA.A1.A0SK.01A.12D.A087.01	0.84	3.69302806510745
BRCA	TCGA.A1.A0SM.01A.11D.A087.01	0.57	2.04696916941965
BRCA	TCGA.A1.A0SN.01A.11D.A141.01	0.45	3.68696623735199
BRCA	TCGA.A1.A0SO.01A.22D.A087.01	0.69	4.60978955195451
BRCA	TCGA.A1.A0SP.01A.11D.A087.01	0.6	1.85698062558551
BRCA	TCGA.A2.A04N.01A.11D.A111.01	0.68	2.12503935801046
BRCA	TCGA.A2.A04P.01A.31D.A036.01	0.54	3.73038305131618
BRCA	TCGA.A2.A04Q.01A.21D.A036.01	0.25	1.66942991830749
BRCA	TCGA.A2.A04R.01A.41D.A107.01	0.82	1.94299238606446
BRCA	TCGA.A2.A04T.01A.21D.A036.01	0.58	3.41746701562714
BRCA	TCGA.A2.A04U.01A.11D.A111.01	0.71	2.41169450742652
BRCA	TCGA.A2.A04V.01A.21D.A036.01	0.79	1.98035459137917
BRCA	TCGA.A2.A04W.01A.31D.A111.01	0.28	3.42270753124901
BRCA	TCGA.A2.A04X.01A.21D.A036.01	0.56	1.9382505440707
BRCA	TCGA.A2.A04Y.01A.21D.A036.01	0.56	2.21006543286592
